,unique,haku_id,osa_alue_id,osa_alue_nimi
194,28Laukaan kunta/Laukaan lukioLAUKAA VIISAS,28,2,02 Esi- ja perusopetus
195,28Otavan Opisto / Mikkelin kaupunkiOppikamu - Vertaisoppimisen tukeminen verkossa,28,2,02 Esi- ja perusopetus
196,28Jyväskylän koulutuskuntayhtymä / lukiokoulutus liikelaitoseBIG - Oma polku mahtavassa lukiossa,28,2,02 Esi- ja perusopetus
197,28Lappeenrannan kaupunki/Saimaan mediakeskusLukion pedagogiikkaa uudistamaan (LUPU),28,2,02 Esi- ja perusopetus
198,28Savitaipaleen kuntaVirtaa Kuolimosta,28,2,02 Esi- ja perusopetus
199,"28Tampereen yliopiston normaalikoulu, lukioRikotaan rajoja, muutetaan tapoja",28,2,02 Esi- ja perusopetus
200,28Staden JakobstadInspire Innovation Lab,28,2,02 Esi- ja perusopetus
201,28Ylivieskan kaupunkiJokiranta 360,28,2,02 Esi- ja perusopetus
202,28Kaurialan lukio / Lukioliikelaitos TavastiaMe Muuttajat - uusi tapa toimia,28,2,02 Esi- ja perusopetus
203,"28Vantaan kaupunki, perusopetusKäsityön innovatiiviset oppimisympäristöt Vantaan perusopetuksessa",28,2,02 Esi- ja perusopetus
